Date,Open,High,Low,Close,Volume,signal
2021-12-10,354.1700134277344,359.2699890136719,350.4700012207031,358.92999267578125,429100,[]
2021-12-13,358.3500061035156,367.8399963378906,354.6300048828125,365.0199890136719,569100,[]
2021-12-14,365.0199890136719,365.2300109863281,355.1700134277344,363.5,725000,[]
2021-12-15,360.5400085449219,370.9200134277344,360.5400085449219,370.1799926757813,665600,['engulfing_bull']
2021-12-16,370.9200134277344,373.6199951171875,369.0299987792969,370.5,594200,[]
2021-12-17,374.9700012207031,381.1199951171875,371.75,375.8800048828125,1383600,[]
2021-12-20,373.7900085449219,377.1900024414063,369.7200012207031,374.3599853515625,644300,[]
2021-12-21,377.05999755859375,377.0899963378906,369.30999755859375,372.739990234375,620500,[]
2021-12-22,374.2699890136719,378.6400146484375,372.8999938964844,377.5899963378906,421600,[]
2021-12-23,377.3299865722656,379.4800109863281,371.5499877929688,374.2799987792969,399900,[]
2021-12-27,375.1700134277344,383.6600036621094,373.8999938964844,383.3599853515625,464500,[]
2021-12-28,384.2999877929688,386.5199890136719,383.2699890136719,384.7300109863281,330900,[]
2021-12-29,387.2300109863281,387.2300109863281,383.5,384.9500122070313,365400,[]
2021-12-30,386.2000122070313,389.1900024414063,384.6499938964844,388.55999755859375,260700,[]
2021-12-31,388.5899963378906,391.1499938964844,387.0199890136719,389.0199890136719,313800,[]
2022-01-03,388.0799865722656,389.0199890136719,371.9100036621094,379.8699951171875,492100,[]
2022-01-04,379.8699951171875,381.2300109863281,368.5400085449219,369.4599914550781,628200,[]
2022-01-05,368.4100036621094,368.4200134277344,349.44000244140625,350.7699890136719,1224600,[]
2022-01-06,348.3599853515625,352.0400085449219,343.54998779296875,349.1700134277344,813400,[]
2022-01-07,348.0899963378906,351.8900146484375,342.1000061035156,347.9100036621094,851700,[]
2022-01-10,339.6400146484375,344.67999267578125,336.94000244140625,342.5799865722656,808100,[]
2022-01-11,342.1600036621094,342.29998779296875,336.8299865722656,341.69000244140625,1044400,[]
2022-01-12,341.0199890136719,344.32000732421875,337.3699951171875,338.510009765625,966400,[]
2022-01-13,339.2300109863281,340.82000732421875,333.239990234375,334.17999267578125,725500,[]
2022-01-14,330.6499938964844,331.7900085449219,320.5299987792969,326.2699890136719,1058000,[]
2022-01-18,323.32000732421875,327.75,320.7799987792969,326.0400085449219,725500,[]
2022-01-19,329.5400085449219,333.1600036621094,320.9800109863281,321.2300109863281,786000,[]
2022-01-20,321.3099975585937,328.989990234375,316.3800048828125,316.79998779296875,1037100,[]
2022-01-21,317.1499938964844,325.4599914550781,312.29998779296875,312.3399963378906,1204800,[]
2022-01-24,310.6400146484375,327.8299865722656,306.989990234375,326.5400085449219,1542100,['engulfing_bull']
2022-01-25,323.7300109863281,328.9700012207031,319.8299865722656,325.5400085449219,1024000,[]
2022-01-26,324.7300109863281,332.9100036621094,312.489990234375,315.760009765625,1096100,[]
2022-01-27,316.6099853515625,317.489990234375,304.3599853515625,306.17999267578125,761500,[]
2022-01-28,307.2300109863281,318.04998779296875,304.6099853515625,317.760009765625,741400,[]
2022-01-31,317.8999938964844,325.4700012207031,316.8999938964844,325.44000244140625,655400,[]
2022-02-01,324.2200012207031,326.7799987792969,320.0599975585937,322.3699951171875,548700,[]
2022-02-02,324.69000244140625,326.04998779296875,323.1600036621094,323.57000732421875,546500,[]
2022-02-03,322.760009765625,324.2900085449219,321.4100036621094,321.70001220703125,433800,[]
2022-02-04,325.010009765625,328.989990234375,318.010009765625,321.54998779296875,758400,[]
2022-02-07,321.6199951171875,325.7300109863281,321.1199951171875,321.5599975585937,637300,[]
2022-02-08,320.8599853515625,322.2699890136719,317.4599914550781,318.3299865722656,468300,[]
2022-02-09,324.7799987792969,327.2200012207031,322.54998779296875,326.29998779296875,558500,[]
2022-02-10,319.57000732421875,325.25,316.1300048828125,318.0799865722656,628800,[]
2022-02-11,317.69000244140625,319.5299987792969,309.2099914550781,312.010009765625,762800,[]
2022-02-14,312.1000061035156,313.0899963378906,307.3599853515625,309.3500061035156,632700,[]
2022-02-15,312.9100036621094,314.260009765625,308.0599975585937,309.0599975585937,619000,[]
2022-02-16,309.5199890136719,309.5199890136719,302.8500061035156,303.8299865722656,639600,[]
2022-02-17,305.0899963378906,305.2300109863281,294.5599975585937,295.9800109863281,832000,[]
2022-02-18,296.8900146484375,298.5899963378906,290.5400085449219,290.82000732421875,725200,[]
2022-02-22,292.6199951171875,299.7200012207031,291.6199951171875,297.0799865722656,837600,[]
2022-02-23,297.25,302.8999938964844,291.1199951171875,291.3500061035156,702400,[]
2022-02-24,289.4599914550781,303.1400146484375,286.4100036621094,302.29998779296875,901000,['engulfing_bull']
2022-02-25,302.9200134277344,307.7300109863281,299.04998779296875,306.8699951171875,632100,[]
2022-02-28,303.8500061035156,305.8699951171875,299.1400146484375,303.3900146484375,969100,[]
2022-03-01,318.5599975585937,328.3900146484375,310.9599914550781,316.69000244140625,1258500,[]
2022-03-02,315.6499938964844,326.0899963378906,314.010009765625,321.1400146484375,837400,['engulfing_bull']
2022-03-03,322.8500061035156,327.17999267578125,319.75,326.0299987792969,861900,[]
2022-03-04,324.04998779296875,331.0799865722656,324.04998779296875,330.8999938964844,911800,[]
2022-03-07,329.25,334.3500061035156,326.6000061035156,331.8999938964844,901800,[]
2022-03-08,333.0,338.739990234375,324.7900085449219,324.8999938964844,1011500,[]
2022-03-09,329.57000732421875,331.0299987792969,325.6300048828125,326.19000244140625,548200,[]
2022-03-10,322.8999938964844,329.57000732421875,318.25,328.7799987792969,578100,[]
2022-03-11,329.0400085449219,331.489990234375,320.7300109863281,320.8800048828125,670400,[]
2022-03-14,321.07000732421875,325.8299865722656,316.3399963378906,320.70001220703125,635000,[]
2022-03-15,324.1099853515625,325.8800048828125,315.8500061035156,322.239990234375,527700,[]
2022-03-16,324.29998779296875,327.94000244140625,318.4599914550781,325.8599853515625,573800,[]
2022-03-17,324.07000732421875,332.0400085449219,324.07000732421875,330.07000732421875,541100,[]
2022-03-18,331.9599914550781,334.70001220703125,329.510009765625,330.6300048828125,885800,[]
2022-03-21,330.6300048828125,334.489990234375,325.4800109863281,327.6000061035156,688400,[]
2022-03-22,327.45001220703125,327.45001220703125,320.0,322.7300109863281,888400,[]
2022-03-23,324.9100036621094,324.989990234375,316.7099914550781,320.4800109863281,566900,[]
2022-03-24,321.19000244140625,325.8800048828125,318.489990234375,325.4100036621094,496100,[]
2022-03-25,327.2799987792969,329.4200134277344,324.5299987792969,328.989990234375,287200,[]
2022-03-28,330.45001220703125,334.2099914550781,328.3900146484375,333.8900146484375,460500,[]
2022-03-29,334.7200012207031,341.04998779296875,333.4599914550781,340.760009765625,522800,[]
2022-03-30,340.3399963378906,343.0,337.6400146484375,342.9800109863281,458400,[]
2022-03-31,343.8599853515625,348.3500061035156,342.9200134277344,344.1000061035156,991300,[]
2022-04-01,345.4599914550781,351.1400146484375,343.4100036621094,350.6000061035156,585100,[]
2022-04-04,349.92999267578125,356.3900146484375,349.8699951171875,355.0799865722656,742100,[]
2022-04-05,354.8999938964844,363.8599853515625,354.3299865722656,360.5700073242188,729900,[]
2022-04-06,359.2699890136719,373.4700012207031,358.3299865722656,370.0899963378906,861300,[]
2022-04-07,369.9700012207031,371.9700012207031,366.6199951171875,369.2900085449219,867700,[]
2022-04-08,368.8299865722656,375.9500122070313,366.9700012207031,372.7200012207031,629900,['engulfing_bull']
2022-04-11,367.0700073242188,374.0,360.7799987792969,361.2999877929688,581000,[]
2022-04-12,361.8500061035156,362.6300048828125,352.95001220703125,354.4800109863281,771600,[]
2022-04-13,355.70001220703125,356.510009765625,349.2799987792969,354.6099853515625,554500,[]
2022-04-14,355.6600036621094,357.79998779296875,353.1400146484375,355.3800048828125,400100,[]
2022-04-18,357.0,360.4100036621094,353.8599853515625,355.9599914550781,566800,[]
2022-04-19,356.5199890136719,364.1799926757813,354.6700134277344,360.9100036621094,493400,[]
2022-04-20,361.2699890136719,373.2099914550781,360.9500122070313,372.0700073242188,578100,[]
2022-04-21,370.80999755859375,377.1000061035156,368.7799987792969,370.1600036621094,434900,[]
2022-04-22,370.30999755859375,370.30999755859375,364.1700134277344,366.3599853515625,546100,[]
2022-04-25,367.6499938964844,368.7699890136719,355.010009765625,359.94000244140625,965100,[]
2022-04-26,379.989990234375,379.989990234375,349.95001220703125,351.20001220703125,832000,[]
2022-04-27,351.3299865722656,358.3099975585937,348.2200012207031,348.8699951171875,957200,[]
2022-04-28,349.79998779296875,359.5599975585937,345.010009765625,359.239990234375,723900,[]
2022-04-29,358.04998779296875,358.04998779296875,346.45001220703125,347.1099853515625,690300,[]
2022-05-02,348.0,352.19000244140625,333.70001220703125,337.8800048828125,827900,[]
2022-05-03,340.6600036621094,352.4599914550781,336.8900146484375,348.8999938964844,1000400,[]
2022-05-04,350.9599914550781,352.07000732421875,341.9200134277344,351.739990234375,692400,[]
